max_iterations,min_tabu_size,max_tabu_size,num_cities,execution_time,memory_used,best_distance
500,100,100,50,11.49,475.04,608.46
1000,100,100,50,22.92,478.53,608.46
3000,100,100,50,71.13,482.21,608.46
10,100,150,50,0.2,485.28,613.79
100,100,150,50,2.17,489.32,608.46
500,100,150,50,11.83,492.64,608.46
1000,100,150,50,24.29,496.38,608.46
3000,100,150,50,73.11,499.89,608.46
10,100,200,50,0.2,503.2,613.79
100,100,200,50,2.32,506.92,608.46
500,100,200,50,12.95,510.45,608.46
1000,100,200,50,25.5,513.92,608.46
3000,100,200,50,74.39,517.58,608.46
10,100,300,50,0.2,521.27,613.79
100,100,300,50,2.06,524.53,608.46
500,100,300,50,12.75,529.33,608.46
1000,100,300,50,26.65,532.67,608.46
3000,100,300,50,81.19,536.12,608.46
